item_id,indicator,kind,is_phishing
K1,suspicious_sender,knowledge,TRUE
K2,misleading_link,knowledge,TRUE
K3,urgent_language,knowledge,TRUE
K4,credential_request,knowledge,TRUE
K5,unexpected_attachment,knowledge,TRUE
K6,suspicious_sender,knowledge,TRUE
K7,misleading_link,knowledge,TRUE
K8,urgent_language,knowledge,TRUE
K9,credential_request,knowledge,TRUE
K10,unexpected_attachment,knowledge,TRUE
S1,suspicious_sender,scenario,TRUE
S2,misleading_link,scenario,TRUE
S3,urgent_language,scenario,TRUE
S4,credential_request,scenario,TRUE
S5,unexpected_attachment,scenario,TRUE
S6,none,scenario,FALSE
S7,none,scenario,FALSE
S8,none,scenario,FALSE
S9,none,scenario,FALSE
S10,none,scenario,FALSE
