participant_id,item_id,classified_as_phishing,action
P01,K1,TRUE,delete
P01,K2,TRUE,delete
P01,K3,TRUE,delete
P01,K4,TRUE,delete
P01,K5,TRUE,delete
P01,K6,TRUE,delete
P01,K7,TRUE,delete
P01,K8,TRUE,delete
P01,K9,TRUE,delete
P01,K10,TRUE,delete
P01,S1,TRUE,open
P01,S2,TRUE,open
P01,S3,TRUE,report
P01,S4,FALSE,open
P01,S5,TRUE,report
P01,S6,TRUE,report
P01,S7,FALSE,open
P01,S8,FALSE,open
P01,S9,FALSE,open
P01,S10,FALSE,open
P02,K1,TRUE,delete
P02,K2,TRUE,delete
P02,K3,TRUE,delete
P02,K4,FALSE,open
P02,K5,TRUE,delete
P02,K6,TRUE,delete
P02,K7,TRUE,delete
P02,K8,TRUE,delete
P02,K9,TRUE,delete
P02,K10,TRUE,delete
P02,S1,TRUE,report
P02,S2,TRUE,report
P02,S3,TRUE,report
P02,S4,TRUE,report
P02,S5,TRUE,report
P02,S6,TRUE,report
P02,S7,FALSE,open
P02,S8,TRUE,report
P02,S9,FALSE,open
P02,S10,FALSE,open
P03,K1,TRUE,delete
P03,K2,TRUE,delete
P03,K3,FALSE,open
P03,K4,FALSE,open
P03,K5,FALSE,open
P03,K6,TRUE,delete
P03,K7,TRUE,delete
P03,K8,TRUE,delete
P03,K9,TRUE,delete
P03,K10,TRUE,delete
P03,S1,TRUE,open
P03,S2,TRUE,report
P03,S3,FALSE,open
P03,S4,TRUE,report
P03,S5,TRUE,report
P03,S6,FALSE,open
P03,S7,TRUE,report
P03,S8,TRUE,report
P03,S9,FALSE,open
P03,S10,FALSE,open
P04,K1,TRUE,delete
P04,K2,TRUE,delete
P04,K3,TRUE,delete
P04,K4,TRUE,delete
P04,K5,TRUE,delete
P04,K6,TRUE,delete
P04,K7,TRUE,delete
P04,K8,TRUE,delete
P04,K9,FALSE,open
P04,K10,TRUE,delete
P04,S1,TRUE,report
P04,S2,TRUE,report
P04,S3,TRUE,report
P04,S4,TRUE,report
P04,S5,TRUE,report
P04,S6,FALSE,open
P04,S7,FALSE,open
P04,S8,FALSE,open
P04,S9,FALSE,open
P04,S10,TRUE,report
P05,K1,TRUE,delete
P05,K2,TRUE,delete
P05,K3,TRUE,delete
P05,K4,TRUE,delete
P05,K5,TRUE,delete
P05,K6,TRUE,delete
P05,K7,TRUE,delete
P05,K8,TRUE,delete
P05,K9,TRUE,delete
P05,K10,TRUE,delete
P05,S1,TRUE,report
P05,S2,TRUE,report
P05,S3,TRUE,report
P05,S4,TRUE,report
P05,S5,TRUE,report
P05,S6,FALSE,open
P05,S7,FALSE,open
P05,S8,FALSE,open
P05,S9,FALSE,open
P05,S10,FALSE,open
P06,K1,FALSE,open
P06,K2,TRUE,delete
P06,K3,FALSE,open
P06,K4,TRUE,delete
P06,K5,FALSE,open
P06,K6,FALSE,open
P06,K7,FALSE,open
P06,K8,TRUE,delete
P06,K9,TRUE,delete
P06,K10,TRUE,delete
P06,S1,TRUE,report
P06,S2,TRUE,report
P06,S3,TRUE,report
P06,S4,TRUE,open
P06,S5,TRUE,report
P06,S6,FALSE,open
P06,S7,FALSE,open
P06,S8,FALSE,open
P06,S9,FALSE,open
P06,S10,FALSE,open
P07,K1,TRUE,delete
P07,K2,TRUE,delete
P07,K3,TRUE,delete
P07,K4,TRUE,delete
P07,K5,TRUE,delete
P07,K6,TRUE,delete
P07,K7,TRUE,delete
P07,K8,TRUE,delete
P07,K9,TRUE,delete
P07,K10,TRUE,delete
P07,S1,TRUE,report
P07,S2,TRUE,report
P07,S3,TRUE,report
P07,S4,TRUE,report
P07,S5,TRUE,report
P07,S6,TRUE,report
P07,S7,FALSE,open
P07,S8,TRUE,report
P07,S9,FALSE,open
P07,S10,FALSE,open
